Ligand,Binding Energy
ZINC000003123571_uff_E=102.52,-6
ZINC000003167798_uff_E=108.19,-6
ZINC000003883379_uff_E=589.61,-6
ZINC000004235143_uff_E=253.02,-6
ZINC000004943314_uff_E=278.45,-6
ZINC000008731896_uff_E=630.11,-6
ZINC000008846310_uff_E=95.97,-6
ZINC000015442563_uff_E=94.94,-6
ZINC000019092477_uff_E=158.93,-6
ZINC000019515289_uff_E=180.68,-6
ZINC000021955162_uff_E=558.86,-6
ZINC000021955166_uff_E=551.31,-6
ZINC000021960671_uff_E=100.83,-6
ZINC000021960676_uff_E=101.57,-6
ZINC000021991811_uff_E=286.57,-6
ZINC000037655531_uff_E=591.40,-6
ZINC000042784281_uff_E=165.26,-6
ZINC000054768638_uff_E=210.85,-6
ZINC000054768639_uff_E=238.43,-6
ZINC000057218759_uff_E=284.44,-6
ZINC000062716038_uff_E=152.80,-6
ZINC000073641176_uff_E=563.48,-6
ZINC000075259713_uff_E=453.98,-6
ZINC000082377217_uff_E=540.83,-6
ZINC000083255146_uff_E=633.24,-6
ZINC000100740885_uff_E=169.34,-6
ZINC000299751834_uff_E=275.61,-6
